property_id,address,hwm_id,site_id,latitude,longitude,surveyed_ft,hwm_quality,hwm_type,hwm_environment,waterbody,flag_date,survey_date,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,hand_ft,water_fraction,dpol_available,dpol_water,db_available,double_bounce,vh_available,vh_water_pct,rain_mm,ndvi_valid,ndvi_delta,near_water_flag,flood_s0,flood_s1,flood_s2,sample_radius_m
29144,HWM 29144,29144,25062,29.847128,-95.59905,3.5,Fair: +/- 0.20 ft,Mud,Riverine,Lakes on Eldridge,2017-08-30T05:00:00,2018-05-15T05:00:00,0.0,0.0,1,1,0.0,0.0,7.835,4.91,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
29156,HWM 29156,29156,25062,29.847128,-95.59905,1.5,Good: +/- 0.10 ft,Seed line,Riverine,Lakes on Eldridge,2017-08-30T05:00:00,2018-05-15T05:00:00,0.0,0.0,1,1,0.0,0.0,7.835,4.91,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
29146,HWM 29146,29146,25064,29.863403,-95.621546,1.8,Fair: +/- 0.20 ft,Seed line,Riverine,Horsepen Creek,2017-08-30T05:00:00,2018-05-15T05:00:00,0.0,0.0,1,1,0.0,0.0,13.241,18.13,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,1,,,,50
33196,HWM 33196,33196,26212,29.77339,-95.640122,2.5,Unknown/Historical,Other,Riverine,Buffalo Bayou,2018-06-20T05:00:00,2018-06-20T05:00:00,0.0,0.0,1,1,0.0,0.0,3.824,0.76,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
33271,HWM 33271,33271,26220,29.7680811,-95.5829731,1.0,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-21T05:00:00,2018-06-21T05:00:00,0.0,0.0,1,1,0.0,0.0,27.409,18.22,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
33272,HWM 33272,33272,26220,29.7680811,-95.5829731,1.0,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-21T05:00:00,2018-06-21T05:00:00,0.0,0.0,1,1,0.0,0.0,27.409,18.22,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
33273,HWM 33273,33273,26221,29.7663126,-95.5741365,2.4,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-21T05:00:00,2018-06-21T05:00:00,0.0,0.0,0,1,0.0,0.0,27.465,7.57,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
33278,HWM 33278,33278,26224,29.76415,-95.56605,4.0,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-29T05:00:00,2018-06-29T05:00:00,0.0,0.0,1,1,0.0,0.0,22.818,10.39,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
33279,HWM 33279,33279,26224,29.76415,-95.56605,4.0,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-29T05:00:00,2018-06-29T05:00:00,0.0,0.0,1,1,0.0,0.0,22.818,10.39,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
33274,HWM 33274,33274,26222,29.76553113,-95.57129525,2.5,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-21T05:00:00,2018-06-21T05:00:00,0.0,0.0,1,1,0.0,0.0,25.425,18.6,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
33275,HWM 33275,33275,26222,29.76553113,-95.57129525,2.5,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-21T05:00:00,2018-06-21T05:00:00,0.0,0.0,1,1,0.0,0.0,25.425,18.6,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
33282,HWM 33282,33282,26226,29.76845,-95.6418,4.0,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-22T05:00:00,2108-06-22T05:00:00,0.0,0.0,1,1,0.1899,0.0,22.789,18.92,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
33277,HWM 33277,33277,26223,29.7642223,-95.5687656,2.0,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-21T05:00:00,2018-06-21T05:00:00,0.0,0.0,1,1,0.0,0.0,28.383,16.71,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
33276,HWM 33276,33276,26223,29.7642223,-95.5687656,2.0,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-21T05:00:00,2018-06-21T05:00:00,0.0,0.0,1,1,0.0,0.0,28.383,16.71,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
33299,HWM 33299,33299,26229,29.77133324,-95.62964572,1.5,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-22T05:00:00,2018-06-22T05:00:00,0.0,0.0,1,1,0.0,0.0,21.995,16.15,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
29194,HWM 29194,29194,25083,29.710604,-95.729922,3.5,Fair: +/- 0.20 ft,Seed line,Riverine,Buffalo Bayou,2017-08-30T05:00:00,2018-05-15T05:00:00,0.0,0.0,1,1,0.0,0.0,3.319,15.14,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
33444,HWM 33444,33444,26443,29.8063423,-95.6888667,2.07,Fair: +/- 0.20 ft,Debris,Coastal,Gulf of America,2018-07-14T05:00:00,2018-07-14T05:00:00,0.0,0.0,0,1,0.0,0.0,4.213,12.39,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
