property_id,address,latitude,longitude,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,dem_resolution_m,depth_lower_ft,depth_upper_ft,depth_ci_ft
HARV-00393,"5203 South Braeswood Boulevard, Houston, TX",29.677242,-95.471858,0.0,0.0,1,1,0.0,0.0,21.604,1,0.0,0.0,0.0
HARV-00394,"6855 West Sam Houston Parkway South, Houston, TX, 77072",29.702769,-95.555154,0.0,0.0,1,1,0.0,0.0,7.125,1,0.0,0.0,0.0
HARV-00395,"798 Sorella Court, Houston, TX, 77024",29.779428,-95.561462,0.0,0.0,1,1,0.01,0.0,17.394,1,0.0,0.0,0.0
HARV-00396,"5858 Chimney Rock Road, Houston",29.718381,-95.477374,0.0,0.0,1,1,0.0,0.0,7.334,1,0.0,0.0,0.0
HARV-00397,"3100 Chimney Rock Road, Houston, TX",29.732555,-95.476892,0.0,0.0,1,1,0.0,0.0,2.071,1,0.0,0.0,0.0
HARV-00398,"4520 San Felipe Street, San Felipe, TX, 77027",29.747666,-95.454847,0.0,0.0,1,1,0.2158,0.0,4.496,1,0.0,0.0,0.0
HARV-00399,"2035 West Gray Street, Houston, TX, 77019",29.75265,-95.409989,0.0,0.0,1,1,0.0,0.0,2.111,1,0.0,0.0,0.0
HARV-00400,"2700 South Loop West, Houston, TX, 77054",29.678459,-95.421968,0.0,0.0,1,1,0.0,0.0,10.367,1,0.0,0.0,0.0
HARV-00401,"4227 Bellaire Boulevard, Houston, 77025",29.705578,-95.446737,0.0,0.0,1,1,0.0,0.0,6.674,1,0.0,0.0,0.0
HARV-00402,"920 Studemont Street, Houston, TX, 77007",29.767187,-95.391724,0.0,0.0,1,1,0.0,0.0,3.422,1,0.0,0.0,0.0
HARV-00403,"9888 Bellaire Boulevard, Houston, TX, 77036",29.706656,-95.553157,0.0,0.0,1,1,0.0,0.0,2.133,1,0.0,0.0,0.0
HARV-00404,"7575 San Felipe Street, Houston, 77063",29.75018,-95.501901,0.0,0.0,1,1,0.0,0.0,24.517,1,0.0,0.0,0.0
